id,name,image_file,image_url,status,error
ElUOkWxrvMz93b9ED0bX,Agege bread beans Nigeria,,,error,HTTPError('429 Client Error: Too Many Requests for url: https://pixabay.com/get/g6b56b8d2ae8109fae6b979a21c875b01894a0d8bd2c2c13654224d040985d064ea1ff0573e010acc85ccb098df2734ed35ba41589a3513d21016fecf6fcac141_1280.jpg')
FArK8jmap6pdWEWAEFlT,Kilishi Nigerian dried meat,migrations\images\FArK8jmap6pdWEWAEFlT_kilishi_nigerian_dried_meat.jpg,https://pixabay.com/get/g8461dafeea107ab8acae4f58855efaf2c883a81aaf585ebf97527b2fb11f4cc81e126ec1ba5b9e6cc36bfb425334e01670ed71315f0687696cef299267dd4128_1280.jpg,downloaded,
FqqDkSkbzUP5oYX8o7xk,Nyembwe chicken Gabon palm nut,migrations\images\FqqDkSkbzUP5oYX8o7xk_nyembwe_chicken_gabon_palm_nut.jpg,https://pixabay.com/get/g7c2b66b83d77b7203d44d6fbc7ac3aa1964eaa89aa3f76b985bb7cb618349c94aa846ba63cc5f72eaa6e972370ca8a96dea977d7ff58f1fc31e0f8543251bc68_1280.jpg,downloaded,
G2VN9HFMatpI0b20EcrQ,Sishwala Eswatini porridge,migrations\images\G2VN9HFMatpI0b20EcrQ_sishwala_eswatini_porridge.jpg,https://pixabay.com/get/g858f790e972d30ac5bf7a2a7ad197d6b508956320ea23fdecece1ceed46462264d7d8d37f21ca2f8f8b60226a97bb1a5e425d12f44f1fef5f202874d04e8183a_1280.jpg,downloaded,
Ga0Yq7u8V764lVApPaNw,Fufu Pondu Congo cassava,migrations\images\Ga0Yq7u8V764lVApPaNw_fufu_pondu_congo_cassava.jpg,https://pixabay.com/get/gd709ae50167451ff6be460ceb120734ef586d306913e4378ccb5e1908cf8cced8cacb40f3b6da590b527b444c52c90efc2586209aa0c10cc5c967ca428f14fe0_1280.jpg,downloaded,
HJzEoVMFTnhKf95KAdHG,Kilishi Nigerian beef jerky,,,error,HTTPError('429 Client Error: Too Many Requests for url: https://pixabay.com/get/g1177df4224cb559fd1ed93254e5c60726a036f4ec37f4768e137f966926a9e0ad3d77e6f7cfb5857fd6ed0dfd5496a23497e52ee6f76eb2ea93d7bbc2b09cf56_1280.jpg')
Hn5OTVTlawIkngFECgHd,Isi Ewu goat head soup Nigeria,migrations\images\Hn5OTVTlawIkngFECgHd_isi_ewu_goat_head_soup_nigeria.jpg,https://pixabay.com/get/g175dd8c4943a590534acd7a29e247c9fa9f3cef0afa61f56ebb17ecb138a834734aa44559b42c7d9078252f8682fe8888f1512e5a4a918d8462cd2896727f306_1280.jpg,downloaded,
JtWpu7yN3nvR8WK64uUu,Kikomando Uganda chapati beans,migrations\images\JtWpu7yN3nvR8WK64uUu_kikomando_uganda_chapati_beans.jpg,https://pixabay.com/get/g3cb9c3de46d9dc894ac718e76ffd61f43190d27aac296cc08c67e5a5d698d18f717e9d4d38d6000777ffa3ff8bad162e52211191b7cf13ace8a40bc1a4c71d3f_1280.jpg,downloaded,
JvaoPX5yaylKNZI3auwo,Attieke fried fish Ivory Coast,migrations\images\JvaoPX5yaylKNZI3auwo_attieke_fried_fish_ivory_coast.jpg,https://pixabay.com/get/gbb3820f5b49c961970df95d1edf28643ce1b55d3449ddae59d9d940517023eec1733d20528f2ee6ce83e56948296bec4d29aac8f82350f4979654938d8e7b296_1280.jpg,downloaded,
JxeEnt5kfbFVLbqjSvVc,Gizdodo gizzard plantain Nigeria,,,error,HTTPError('429 Client Error: Too Many Requests for url: https://pixabay.com/get/gc15d220694f14b6d63ba2ff416cef686ab1f7330cbfede855cbfea3bcaa577921beb7717949d269d790c7ab8ace7f929b90b5b125ad0c8d43fc4b34aaa06e84d_1280.jpg')
Mys8UO8wi0ofSxTOwYCf,Vitumbuwa Zambian fritters,,,error,HTTPError('429 Client Error: Too Many Requests for url: https://pixabay.com/get/gd9fede92ae4fff27c716fd574e5e17e402ddb21e22f8ca85785eac36bd7b0988908d883cfaf9d43056575d98cb8173c1b21d28a7a830c08b75e573559385856c_1280.jpg')
NpJeOSY0heM35tc5Sg30,Ugali nyama Kenya,migrations\images\NpJeOSY0heM35tc5Sg30_ugali_nyama_kenya.jpg,https://pixabay.com/get/gc977d07fd7a55cacb57560f18f4449c185ba1b07f9c8b94b1391245ac1b8b2764d927efdf3a6a2cd556e0cf2db012083826cbc501ea94d2cb7ecdab281ab6bf0_1280.jpg,downloaded,
OslneX8sSy30WLkMV7JL,Wali maharage rice beans Tanzania,migrations\images\OslneX8sSy30WLkMV7JL_wali_maharage_rice_beans_tanzania.jpg,https://pixabay.com/get/g8b4d9dc7d637176804191a74a130fb30ec3c7bbeb60bbf3ac34cffc1794c5754ae6707ccfa8bf723d1c14e939c1fe89ee2806f5ff10131fd2eeacb61c4c9f651_1280.jpg,downloaded,
PeCGnE7rLEzehucCMFol,Ndizi nyama plantain meat Tanzania,migrations\images\PeCGnE7rLEzehucCMFol_ndizi_nyama_plantain_meat_tanzania.jpg,https://pixabay.com/get/g9816b07765f14ac67b43b46910c2124df40bb2cdf3715475f0379c8721f1f74b5746a08456d93e2acda1976daa22b39c200adb86d750297211919396aa854e3d_1280.jpg,downloaded,
Q10KoZOXN43xLCxtYLut,pate noire okra sauce Africa,migrations\images\Q10KoZOXN43xLCxtYLut_pate_noire_okra_sauce_africa.jpg,https://pixabay.com/get/ga7bc4dac0de24fcd4178cfb1492c7bff628d7ca3542a47e30f73a9b55129829307cfbfe56fa5efa91f358b23835d3ea289e820f0d7b932ea6b5a9bd8e0a596d0_1280.jpg,downloaded,
QWlLdpAOKUF8bIv7ZSYB,Lahoh Somali pancake,,,error,HTTPError('429 Client Error: Too Many Requests for url: https://pixabay.com/get/g355d807a5400bbeeba8e9a09198fda9a14231d08b2d8e03aae9d09248c7cbc3409e6a64b3a33c15a5f6281df24857df189d90ab1be8fabdb5d517285ce2a64c3_1280.jpg')
QgzZHrO2krWUF2Fk2NOR,Kat Kat banana coconut Seychelles,migrations\images\QgzZHrO2krWUF2Fk2NOR_kat_kat_banana_coconut_seychelles.jpg,https://pixabay.com/get/g0f53216351f47e82c8c2f175193e55ed24b43042dbc0ad2b4515f4d1e1c75c9671e137da7c262ec9a761c9cf7713dda04a43b185716cf3f61f59d61d3a33c506_1280.jpg,downloaded,
QhLBN0mqa2HOhobotOkq,Nkwobi Nigerian cow foot,migrations\images\QhLBN0mqa2HOhobotOkq_nkwobi_nigerian_cow_foot.jpg,https://pixabay.com/get/g418075068028058f0dbdd715d0187c1876ac3556ab0fce5122cb05abb00c1f3ea6fa50fbdbfcee6bbd40619b56e1284c0dd5273150c3d2cb1c5cc7bd0038335d_1280.jpg,downloaded,
RZ1SASBdyx8C1tuzSpWd,Eru soup Cameroon,migrations\images\RZ1SASBdyx8C1tuzSpWd_eru_soup_cameroon.jpg,https://pixabay.com/get/gd95eadf4c8c31577ec7042bbcd62385b62b4b3011fae75e42d8a95a23442158aae8fb4277172cb3779dcf8fbbc8bd10be6223b80478975cd73eb70e60c522c8a_1280.jpg,downloaded,
TnGXe6yZojOQoSOB9p7O,Ekpang Nkukwo Nigeria cocoyam,,,error,HTTPError('429 Client Error: Too Many Requests for url: https://pixabay.com/get/g847ac8bb6cac5871d41a194f18ce9403ea07fb9e864652c72fedef5f65090b7e049c8c623ed835721038f325c7111bc879aa61e04037d90207b161357e3fc92f_1280.jpg')
ToYru7fvF2UaDfeSHhRe,Bogobe sorghum porridge Botswana,migrations\images\ToYru7fvF2UaDfeSHhRe_bogobe_sorghum_porridge_botswana.jpg,https://pixabay.com/get/g6f60ead94ed8d196cc473089b547e6c993173e08469543c9fc2e0e6a8d8ac020e9c98e2f38fec20031a1deac0d0989e1aa236af25846263d0340ed9105a70151_1280.jpg,downloaded,
URqrswWPLRZnkNwkgKui,Koklo Meme grilled chicken Togo,migrations\images\URqrswWPLRZnkNwkgKui_koklo_meme_grilled_chicken_togo.jpg,https://pixabay.com/get/ge7c00b8380d0f422bcc4b79653efc7fffac0dd866dbcacdcab466fdfcbcf6d471e753222a9448d82417277d5d7472f8e90eeb1b6baf616a10c9331a61696f32f_1280.jpg,downloaded,
Ugm7irxuiNSajeio7YZ7,bitter leaf soup Nigeria,migrations\images\Ugm7irxuiNSajeio7YZ7_bitter_leaf_soup_nigeria.jpg,https://pixabay.com/get/g72394a28937bd6fb479b05f7e3318c2e4e35bf1981a2c54747e3d677e9a4ba913fe00865207d827fde047962a1982e49b7e9d6a4bd6f35ae479b3ffd4ae32cfa_1280.jpg,downloaded,
Vk7MV5lFibALrno8lRUb,Babenda Burkina Faso greens,,,error,HTTPError('429 Client Error: Too Many Requests for url: https://pixabay.com/get/g476789e5fd4e28221877fed53631bf076c76c389c4b121c9449077626704884d345d9db6060362befc100c16c547657270bd217dd71f8a768355c23e01ee8535_1280.jpg')
W4FI3VAjI5A80Hzw7Djc,Calulu fish stew Sao Tome,migrations\images\W4FI3VAjI5A80Hzw7Djc_calulu_fish_stew_sao_tome.jpg,https://pixabay.com/get/ga159cb9fa0d3fb66aa07d03884346aaa0fd756bd62341994023f383297c4e53bc2ff5e7a8013e99a5e1f7132178394ec70c570a666581cd06b0350e4cb256c44_1280.jpg,downloaded,
WzUMnGZDdn8ImL9zxaVN,cassava leaf stew Sierra Leone,migrations\images\WzUMnGZDdn8ImL9zxaVN_cassava_leaf_stew_sierra_leone.jpg,https://pixabay.com/get/ge77668b1035a3670e3c20ee07f9c1eb6a4939268235923f727616764cb64076d6b1a359b648c9dc887814fbdf51fdc20b6ea8a01a51e46bdca1655448084188f_1280.jpg,downloaded,
YLL6Sof4G7xOY3Wvjyyy,Dambou millet Niger,migrations\images\YLL6Sof4G7xOY3Wvjyyy_dambou_millet_niger.jpg,https://pixabay.com/get/g1ff9a2b42c7f42b642603b469effc9cab5f6c81825893b8a97614f0f0ac316ce5d7e19e4aa68db3c5b004f4287325d742392377ddea8352d193d49510c279e85_1280.jpg,downloaded,
YPZMoKBN4hqVjOiE1iyY,Indomie jollof noodles Nigeria,migrations\images\YPZMoKBN4hqVjOiE1iyY_indomie_jollof_noodles_nigeria.jpg,https://pixabay.com/get/gc964cb60e81e9af569f3291be5de1bc1054e7ab90932513ad1c306dbdb5b5fe9aeeae66f41b2bcfb25bcd155d3672c5f90229134a31e63cf1088c84b03d2a99e_1280.jpg,downloaded,
ZqAL80w2lwJuituWdepO,Bariis Iskukaris Somali spiced rice,migrations\images\ZqAL80w2lwJuituWdepO_bariis_iskukaris_somali_spiced_rice.jpg,https://pixabay.com/get/g6399af1c7823f03f17bd0715600458ec260e43fc2da4e12b00fce63df6c2f0f2f4274bf2cc7d9fa7f481151cffc4880421496a9969a461c8c00a1b471b0a8496_1280.jpg,downloaded,
